name,address,addr:city,addr:postcode,cuisine,lat,lon,county
Margarita Jones,,,,mexican,29.1439101,-95.6433249,Brazoria
,,,,donut,29.4322435,-95.2545475,Brazoria
Alvin Smoked Meats & Eats,,,,barbecue,29.4323348,-95.2547514,Brazoria
Auntie Anne's,,,,pretzel,29.5567583,-95.3928477,Brazoria
Domino's,,,,pizza,29.1446368,-95.6495885,Brazoria
Snowflake Donuts,,,,donut,29.1480705,-95.6581483,Brazoria
Hunt Brothers Pizza,,,,pizza,29.0976623,-95.6892727,Brazoria
Krispy Krunchy Chicken,,,,chicken,29.264139,-95.4496171,Brazoria
,,,,barbecue,29.2640564,-95.4495897,Brazoria
,,,,mexican,29.26399,-95.4495885,Brazoria
The Taco Bar,,,,mexican,29.2653896,-95.4514156,Brazoria
Wingstop,State Highway 332 East,,,wings,29.0456331,-95.4565097,Brazoria
Little Caesars,,,,pizza,29.0457435,-95.4571363,Brazoria
Master Glazed Donuts,,,,donut,29.1436325,-95.6387891,Brazoria
Tacos and More,,,,mexican,29.1437025,-95.6386197,Brazoria
Takeria La Rosa,,,,mexican,29.1429719,-95.6378925,Brazoria
P66 / CPCHEM Cafeteria,,,,american;barbecue;chinese,29.0708259,-95.735956,Brazoria
Jay Cafe,Oyster Creek Drive,Lake Jackson,77566,american,29.0456336,-95.4529908,Brazoria
Beef O'Brady's,Oyster Creek Drive,Lake Jackson,77566,american,29.0455527,-95.4528347,Brazoria
La Madeleine,This Way,Lake Jackson,77566,french,29.0394091,-95.4541525,Brazoria
McAlister's Deli,This Way,Lake Jackson,77566,sandwich,29.0393605,-95.4543455,Brazoria
Jersey Mike's Subs,Alvin Sugarland Road,Manvel,,sandwich,29.4839495,-95.4030928,Brazoria
Chipotle,Alvin Sugarland Road,Manvel,,mexican,29.4839949,-95.4032241,Brazoria
Pho 71 Vietnamese Noodle House,,,,vietnamese,29.5568366,-95.365702,Brazoria
El Taco Spot,Flag Lake Drive,,77566,mexican,29.0119667,-95.4216708,Brazoria
Whataburger,State Hwy 6,,77584,american,29.4841309,-95.4040393,Brazoria
Nishiki Japanese restaurant,Business Center Drive,,77584,japanese,29.5463375,-95.3901988,Brazoria
Big Horn BBQ,Hwy 6,,77578,american;barbecue,29.467525,-95.3551867,Brazoria
Shipley Do-Nuts,Hwy 6,,77578,coffee_shop;donut,29.471684,-95.3679039,Brazoria
Marco's Pizza,Morris Ave,,77578,pizza,29.4695443,-95.3641481,Brazoria
Honore's Cajun Cafe,Highway 6,,77578,,29.4705812,-95.3674005,Brazoria
Manvel Seafood & Grill,Highway 6,,77578,,29.473847,-95.3747394,Brazoria
The Burger Barn,Hwy 6,,77578,,29.4743409,-95.376054,Brazoria
Kelley's Country Cookin',East Broadway Street,,77581,american;breakfast;burger;chicken;diner;pancake,29.5578176,-95.2672411,Brazoria
Domino's Pizza,Meridiana Parkway,,77583,,29.4387845,-95.4366036,Brazoria
Marco's Pizza,Meridiana Parkway,,77583,italian_pizza,29.4395501,-95.4315409,Brazoria
Krspy Krunchy Chicken,Meridiana Parkway,,77583,chicken,29.439319,-95.3938816,Brazoria
Dilly's Seafood & Burgers,Meridiana Parkway,,77583,burger;fish,29.4383837,-95.4306325,Brazoria
Parlor Doughnuts,,,,,29.5676813,-95.3878014,Brazoria
Center Court Pizza and Brew,Meridiana Parkway,,77583,italian_pizza;pizza,29.4396873,-95.4237455,Brazoria
Iguanas Ranas Cantina,South Grand Boulevard,,77581,mexican,29.5604509,-95.2842467,Brazoria
Whataburger,Broadway Street,,77581,breakfast;burger;chicken,29.5474333,-95.2334623,Brazoria
Sonic Drive-In,South Gordon Street,,77511,,29.4134478,-95.2436653,Brazoria
Domino's Pizza,South Gordon Street,,77511,chicken;italian_pizza;pizza,29.4125191,-95.2433843,Brazoria
Dairyland,South Gordon Street,,77511,burger;mexican,29.4135237,-95.2439313,Brazoria
Shipley Donuts,Meridiana Parkway,,77583,breakfast;coffee_shop;donut,29.4384299,-95.4434972,Brazoria
Wrap and Roll,West Broadway Street,,77581,,29.5596801,-95.347258,Brazoria
Five Guys,Nolan Ryan Expressway,,77578,american;burger,29.4844617,-95.4014211,Brazoria
"Kate’s Coffee, Tea, & More",South 17th Street,West Columbia,77486,,29.1399754,-95.6496128,Brazoria
Waffle House,,,,,32.8197548,-85.2106323,Chambers
,,,,chicken;fish,29.8200996,-94.9003316,Chambers
Jack in the Box,,,,burger,29.8200739,-94.8987382,Chambers
Burger King,Interstate Highway 10 West,Winnie,77665,burger,29.8363925,-94.3828836,Chambers
Subway,I-10 East,Mt Belveiu,77580,sandwich,29.8228449,-94.8977118,Chambers
DQ Grill & Chill,Highway 146,Mont Belvieu,77580,ice_cream;burger,29.8249451,-94.8976446,Chambers
Iguana Joe's,,,,,29.8257434,-94.8975809,Chambers
Wendy's,TX 146,Baytown,77523,burger,29.8172409,-94.89968,Chambers
,,,,,29.819074,-94.9004126,Chambers
Sonic,TX 146,Baytown,77520,burger,29.819421,-94.9003171,Chambers
TJ's,,,,burger;chicken;pizza,29.8353461,-94.5392793,Chambers
Dunkin' Donuts,Interstate 10 East,Winnie,77665,donut;coffee_shop,29.8353647,-94.5394403,Chambers
Crawfish Place,State Highway 61,Anahuac,77514,pizza;burger;regional;crawfish,29.8167841,-94.6469768,Chambers
Hurricane Tita's,West Bayshore Drive,Anahuac,77514,pizza;burger;regional;crawfish,29.6571167,-94.6887163,Chambers
Checkers,East Freeway,Baytown,77523,burger,29.8290027,-94.8035918,Chambers
Gong Cha,North State Highway 146,Baytown,77523,bubble_tea,29.8192416,-94.896739,Chambers
Freddy's,East Freeway,Baytown,77523,ice_cream;burger,29.8206451,-94.8964515,Chambers
Big Madre Tacos,,,,mexican,29.8289079,-94.8037505,Chambers
Subway,1-10E,Baytown,77523,sandwich,29.8308869,-94.8046383,Chambers
Church's Chicken,,,,chicken,29.8309369,-94.8043057,Chambers
Schlotzsky's,,,,sandwich,29.7774718,-94.9124588,Chambers
MOD Pizza,Eagle Drive,Mont Belvieu,77523,pizza,29.8280743,-94.8482577,Chambers
Popeyes,20th Avenue,Valley,36854,chicken,32.8471602,-85.1838886,Chambers
Dunkin',20th Avenue,Valley,36854,donut;coffee_shop,32.8470325,-85.18374,Chambers
Hello Gorgeous By Sydni,River Oak Drive,Baytown,77523,,29.8512452,-94.8135558,Chambers
Gator Junction Bar-B-Q,,,,barbecue,29.8397698,-94.6641903,Chambers
Chipotle,,,,mexican,29.8204215,-94.898503,Chambers
Subway,,,,sandwich,29.8412162,-94.6468572,Chambers
McDonald's,,,77523,burger,29.8328662,-94.8486669,Chambers
,,,,,29.8199728,-94.9002957,Chambers
Cactus Jack's,,,,,29.8265931,-94.8512352,Chambers
Southern SmokeHouse,North Cherry Drive,Lanett,36863,barbecue,32.8742271,-85.1899661,Chambers
Arby's,20th Avenue,Valley,36854,sandwich,32.83665,-85.177601,Chambers
Subway,Westheimer Road,Houston,77082,sandwich,29.709886,-95.686142,Fort Bend
Little Ceasers,Westheimer Road,,77802,pizza,29.7094867,-95.6861006,Fort Bend
Jack in the Box,FM 1464 Road,Richmond,77407,burger,29.6911611,-95.6886945,Fort Bend
Shipley Donuts,,,,,29.5653731,-95.781318,Fort Bend
